,year,name,track,length,genre,date.entered,date.peaked,Week,Ranking
52,2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,1,39.0
53,2000,Everclear,Wonderful,4:30,Rock,2000-07-08,2000-09-30,1,77.0
54,2000,Ja Rule,Between Me And You,4:05,Rap,2000-09-16,2000-11-18,1,85.0
55,2000,"Rimes, LeAnn",I Need You,3:42,Country,2000-05-27,2000-08-12,1,77.0
56,2000,Smash Mouth,Then The Morning Comes,3:04,Rock,1999-10-30,2000-01-29,1,83.0
57,2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,2000-10-28,2000-12-30,1,58.0
58,2000,Jagged Edge,Let's Get Married,4:23,Rock,2000-05-06,2000-07-29,1,77.0
59,2000,Filter,Take A Picture,4:23,Rock,1999-11-27,2000-02-05,1,91.0
60,2000,"Martin, Ricky",She Bangs,4:02,Latin,2000-10-07,2000-12-02,1,38.0
61,2000,Mystikal,Shake Ya Ass,4:46,Rap,2000-08-12,2000-10-28,1,97.0
62,2000,BBMak,Back Here,3:35,Rock,2000-04-29,2000-07-29,1,99.0
63,2000,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,2000-01-29,2000-02-26,1,76.0
64,2000,Third Eye Blind,Never Let You Go,3:57,Rock,2000-01-22,2000-04-01,1,65.0
65,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,2000-02-12,2000-05-27,1,80.0
66,2000,Profyle,Liar,3:57,R&B,2000-09-16,2000-10-28,1,52.0
67,2000,Barenaked Ladies,Pinch Me,3:46,Rock,2000-09-09,2000-11-25,1,77.0
68,2000,Jagged Edge,He Can't Love U,3:30,Rock,1999-12-11,2000-01-08,1,54.0
69,2000,504 Boyz,Wobble Wobble,3:35,Rap,2000-04-15,2000-05-06,1,57.0
70,2000,Sting,Desert Rose,3:52,Rock,2000-05-13,2000-08-26,1,98.0
71,2000,Jay-Z,Big Pimpin',3:55,Rap,2000-04-22,2000-07-08,1,69.0
72,2000,Kid Rock,Only God Knows Why,5:27,Rock,2000-02-19,2000-04-15,1,63.0
73,2000,Foo Fighters,Learn To Fly,3:55,Rock,1999-10-16,2000-01-22,1,80.0
74,2000,"Dixie Chicks, The",Goodbye Earl,4:19,Country,2000-03-18,2000-05-06,1,40.0
75,2000,Guy,Dancin',4:08,R&B,1999-12-18,2000-01-01,1,46.0
76,2000,Lil Bow Wow,Bounce With Me,3:22,Rap,2000-08-19,2000-09-16,1,48.0
77,2000,Westlife,Swear It Again,4:07,Rock,2000-04-01,2000-07-01,1,96.0
78,2000,Train,Meet Virginia,3:55,Rock,1999-10-09,2000-01-22,1,76.0
79,2000,"Thomas, Carl",I Wish,3:50,Rock,2000-03-25,2000-05-13,1,75.0
80,2000,Hanson,This Time Around,4:14,Country,2000-04-22,2000-05-06,1,22.0
81,2000,"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop,2000-07-01,2000-08-12,1,63.0
82,2000,Ludacris,What's Your Fantasy,4:16,Rap,2000-09-30,2000-12-16,1,89.0
83,2000,Lil' Zane,Callin' Me,3:43,Rap,2000-07-29,2000-09-02,1,83.0
84,2000,M2M,Don't Say You Love Me,3:41,Pop,1999-11-20,2000-01-08,1,72.0
85,2000,SoulDecision,Faded,3:25,Rock,2000-07-08,2000-09-09,1,94.0
86,2000,"Brock, Chad",Yes!,3:22,Country,2000-04-08,2000-07-01,1,90.0
87,2000,"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin,1999-11-20,2000-02-12,1,74.0
88,2000,Vertical Horizon,You're A God,3:45,Rock,2000-08-26,2000-11-04,1,64.0
89,2000,Avant,Separated,4:13,Rock,2000-04-29,2000-05-20,1,62.0
90,2000,"Rimes, LeAnn",Big Deal,3:03,Country,1999-10-16,2000-01-01,1,71.0
91,2000,IMx,Stay The Night,3:37,Rap,1999-10-09,2000-01-08,1,84.0
92,2000,Dr. Dre,The Next Episode,2:38,Rap,2000-05-27,2000-07-29,1,78.0
93,2000,"Spears, Britney",Lucky,3:23,Rock,2000-08-12,2000-09-09,1,61.0
94,2000,Savage Garden,Crash And Burn,4:41,Rock,2000-04-08,2000-05-27,1,75.0
95,2000,Kandi,Don't Think I'm Not,3:50,Rock,2000-08-05,2000-10-07,1,66.0
96,2000,Sammie,I Like It,4:09,Rock,2000-01-29,2000-04-15,1,85.0
97,2000,Goo Goo Dolls,Broadway,3:54,Rock,2000-04-22,2000-07-01,1,74.0
98,2000,"Moore, Mandy",I Wanna Be With You,4:12,Pop,2000-06-17,2000-08-12,1,69.0
99,2000,Dr. Dre,Forgot About Dre,3:42,Rap,2000-01-22,2000-03-25,1,75.0
100,2000,D'Angelo,Untitled (How Does It Feel),7:10,R&B,2000-01-22,2000-02-19,1,77.0
101,2000,"Messina, Jo Dee",That's The Way,3:17,Country,2000-06-24,2000-08-26,1,78.0
102,2000,Avant,My First Love,4:28,Rock,2000-11-04,2000-12-16,1,70.0
103,2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,2000-08-19,1,80.0
104,2000,Da Brat,What'Chu Like,3:57,Rap,2000-06-03,2000-08-12,1,71.0
105,2000,DMX,Party Up (Up In Here),3:45,Rap,2000-02-26,2000-04-22,1,88.0
106,2000,"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country,1999-11-27,2000-01-29,1,79.0
107,2000,"McGraw, Tim",My Next Thirty Years,3:37,Country,2000-10-21,2000-12-16,1,73.0
108,2000,"Tritt, Travis",Best Of Intentions,4:15,Country,2000-08-19,2000-12-02,1,97.0
109,2000,Alice Deejay,Better Off Alone,6:50,Electronica,2000-04-08,2000-06-03,1,79.0
110,2000,Hoku,Another Dumb Blonde,3:47,Pop,2000-02-19,2000-04-08,1,69.0
111,2000,"Houston, Whitney",I Learned From The Best,4:18,Rock,2000-02-19,2000-03-25,1,83.0
112,2000,Counting Crows,Hanginaround,4:07,Rock,1999-11-06,2000-01-29,1,84.0
113,2000,Mary Mary,Shackles (Praise You),3:12,Rock,2000-03-25,2000-05-13,1,90.0
114,2000,"Carey, Mariah",Crybaby,5:19,Rock,2000-06-24,2000-06-24,1,28.0
115,2000,"McGraw, Tim",My Best Friend,4:33,Country,1999-11-27,2000-01-29,1,85.0
116,2000,Sugar Ray,Falls Apart,4:15,Rock,2000-01-15,2000-02-19,1,70.0
117,2000,Madonna,American Pie,4:30,Rock,2000-02-19,2000-03-04,1,43.0
118,2000,"Jones, Donell",Where I Wanna Be,6:22,Rock,2000-04-22,2000-07-08,1,81.0
119,2000,"Paisley, Brad",We Danced,3:45,Country,2000-10-14,2000-12-16,1,71.0
120,2000,Lonestar,What About Now,3:30,Country,2000-06-10,2000-08-19,1,78.0
121,2000,"Backstreet Boys, The",The One,3:46,Rock,2000-05-27,2000-07-01,1,58.0
122,2000,"Keith, Toby",How Do You Like Me Now?!,3:29,Country,2000-01-29,2000-04-08,1,77.0
123,2000,"Strait, George",The Best Day,3:24,Country,2000-01-29,2000-04-22,1,73.0
124,2000,"Dixie Chicks, The",Without You,3:32,Country,2000-10-07,2000-12-23,1,80.0
125,2000,Musiq,Just Friends (Sunny),4:02,Rap,2000-10-14,2000-12-30,1,89.0
126,2000,"McEntire, Reba",What Do You Say,3:26,Country,1999-10-30,2000-01-29,1,88.0
127,2000,"Braxton, Toni",Just Be A Man About It,4:10,Rock,2000-07-29,2000-09-02,1,76.0
128,2000,"Iglesias, Enrique",Rhythm Divine,7:35,Latin,1999-12-04,2000-01-22,1,90.0
129,2000,"Fabian, Lara",I Will Love Again,3:43,Pop,2000-06-10,2000-08-12,1,91.0
130,2000,Bon Jovi,It's My Life,3:44,Rock,2000-08-12,2000-09-30,1,64.0
131,2000,"Evans, Sara",Born To Fly,5:36,Country,2000-10-21,2000-12-30,1,77.0
132,2000,"Chesney, Kenny",I Lost It,3:54,Country,2000-10-21,2000-12-23,1,75.0
133,2000,J-Shin,One Night Stand,4:34,R&B,1999-12-25,2000-02-26,1,96.0
134,2000,Eve,Love Is Blind,3:51,Rap,2000-01-08,2000-02-19,1,94.0
135,2000,Aaliyah,I Don't Wanna,4:15,Rock,2000-01-29,2000-03-04,1,84.0
136,2000,"Montgomery, John Michael",The Little Girl,3:52,Country,2000-09-09,2000-10-28,1,81.0
137,2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,2000-08-26,2000-09-16,1,99.0
138,2000,"Vassar, Phil",Just Another Day In Paradise,3:54,Country,2000-09-30,2000-12-02,1,81.0
139,2000,Ice Cube,You Can Do It,4:20,Rap,1999-12-04,2000-01-15,1,86.0
140,2000,"Wills, Mark",Back At One,4:00,Country,2000-01-15,2000-02-26,1,89.0
141,2000,Lucy Pearl,Dance Tonight,3:45,R&B,2000-05-20,2000-07-29,1,80.0
142,2000,"Jackson, Alan",It Must Be Love,2:53,Country,2000-06-24,2000-09-02,1,76.0
143,2000,"Griggs, Andy",She's More,3:19,Country,2000-03-11,2000-06-10,1,81.0
144,2000,No Doubt,Simple Kind Of Life,4:11,Rock,2000-07-01,2000-07-22,1,50.0
145,2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,1,77.0
146,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,2000-05-06,2000-08-12,1,87.0
147,2000,Vitamin C,Graduation (Friends Forever),4:23,Rock,2000-04-15,2000-06-10,1,81.0
148,2000,"Gilman, Billy",One Voice,4:07,Country,2000-06-17,2000-09-02,1,86.0
149,2000,Lonestar,Smile,3:33,Country,1999-12-18,2000-02-12,1,89.0
150,2000,"Rogers, Kenny",Buy Me A Rose,3:46,Country,2000-03-11,2000-05-06,1,79.0
151,2000,"Lawrence, Tracy",Lessons Learned,2:55,Country,2000-01-29,2000-04-08,1,80.0
152,2000,"Strait, George",Go On,3:48,Country,2000-08-26,2000-10-28,1,71.0
153,2000,Sisqo,Got To Get It,3:52,Rock,1999-11-20,2000-01-22,1,92.0
154,2000,Baha Men,Who Let The Dogs Out,3:17,R&B,2000-07-22,2000-10-21,1,99.0
155,2000,"Walker, Clay",The Chain Of Love,5:03,Country,2000-04-15,2000-06-10,1,73.0
156,2000,"McBride, Martina",Love's The Only House,5:13,Country,2000-02-05,2000-04-15,1,79.0
157,2000,Amber,Sexual (Li Da Di),4:38,Rock,1999-07-17,2000-02-12,1,99.0
158,2000,"Tippin, Aaron",Kiss This,2:53,Country,2000-08-26,2000-10-21,1,74.0
159,2000,SheDaisy,I Will.. But,3:40,Country,2000-07-15,2000-09-16,1,78.0
160,2000,"Raye, Collin",Couldn't Last A Moment,3:40,Country,2000-03-18,2000-06-24,1,91.0
161,2000,Black Rob,Whoa!,4:04,Rap,2000-03-04,2000-04-15,1,78.0
162,2000,"Jackson, Alan",Pop A Top,3:04,Country,1999-11-13,2000-01-22,1,79.0
163,2000,"Black, Clint",Been There,5:28,Country,2000-02-19,2000-04-15,1,87.0
164,2000,Common,The Light,3:55,Rap,2000-08-05,2000-09-09,1,75.0
165,2000,"Vassar, Phil",Carlene,4:07,Country,2000-03-04,2000-04-22,1,75.0
166,2000,"Jackson, Alan",www.memory,2:36,Country,2000-11-04,2000-12-23,1,75.0
167,2000,Vitamin C,The Itch,3:30,Rock,2000-12-02,2000-12-16,1,86.0
168,2000,"Eastsidaz, The",G'D Up,4:27,Rap,2000-01-08,2000-02-12,1,77.0
169,2000,Ideal,Whatever,3:48,R&B,2000-06-10,2000-08-19,1,75.0
170,2000,"Thomas, Carl",Emotional,4:31,Rock,2000-11-25,2000-12-30,1,77.0
171,2000,Ginuwine,None Of Ur Friends Business,4:12,Rock,1999-12-11,2000-01-22,1,94.0
172,2000,"Davidson, Clay",Unconditional,3:56,Country,2000-03-25,2000-06-17,1,97.0
173,2000,DMX,What You Want,4:05,Rap,2000-07-01,2000-09-23,1,98.0
174,2000,"John, Elton",Someday Out Of The Blue,4:41,Rock,2000-04-22,2000-05-06,1,56.0
175,2000,Pearl Jam,Nothing As It Seems,5:20,Rock,2000-05-13,2000-05-13,1,49.0
176,2000,Mya,The Best Of Me,4:12,Rock,2000-04-15,2000-05-20,1,85.0
177,2000,"Heatherly, Eric",Flowers On The Wall,3:16,Country,2000-04-29,2000-08-12,1,95.0
178,2000,Eminem,Stan,5:26,Rap,2000-11-04,2000-12-02,1,78.0
179,2000,"McEntire, Reba",I'll Be,4:23,Country,2000-05-13,2000-07-29,1,89.0
180,2000,"Lopez, Jennifer",Feelin' Good,4:28,Latin,2000-02-19,2000-04-08,1,79.0
181,2000,"Urban, Keith",Your Everything,4:10,Country,2000-07-15,2000-09-16,1,81.0
182,2000,TLC,Dear Lie,4:36,Rock,2000-02-12,2000-03-04,1,63.0
183,2000,"Gill, Vince",Feels Like Love,4:13,Country,2000-09-02,2000-11-18,1,82.0
184,2000,"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock,2000-06-17,2000-08-05,1,74.0
185,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,2000-03-18,2000-04-15,1,70.0
186,2000,"Williams, Robbie",Angels,3:56,Rock,1999-11-20,2000-01-22,1,85.0
187,2000,"Messina, Jo Dee",Because You Love Me,3:50,Country,2000-01-29,2000-03-11,1,83.0
188,2000,"Keith, Toby",Country Comes To Town,3:39,Country,2000-08-05,2000-10-14,1,82.0
189,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,2000-10-21,2000-12-02,1,72.0
190,2000,"Hill, Faith",Let's Make Love,4:11,Rap,2000-08-12,2000-10-21,1,83.0
191,2000,Kelis,Caught Out There,4:09,R&B,1999-12-04,2000-01-08,1,84.0
192,2000,Jay-Z,Anything,3:41,Rap,2000-02-26,2000-03-11,1,72.0
193,2000,3 Doors Down,Loser,4:24,Rock,2000-10-21,2000-12-02,1,76.0
194,2000,Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country,2000-06-10,2000-09-09,1,95.0
195,2000,"Chesney, Kenny",What I Need To Do,4:05,Country,2000-04-01,2000-06-10,1,79.0
196,2000,"Stone, Angie",No More Rain (In This Cloud),4:42,R&B,1999-12-25,2000-01-22,1,86.0
197,2000,Da Brat,That's What I'm Looking For,3:44,Rap,2000-02-26,2000-04-15,1,93.0
198,2000,SheDaisy,This Woman Needs,3:20,Country,2000-02-05,2000-03-04,1,82.0
199,2000,Papa Roach,Last Resort,3:19,Rock,2000-07-29,2000-12-02,1,75.0
200,2000,"Adams, Yolanda",Open My Heart,5:30,Gospel,2000-08-26,2000-10-21,1,76.0
201,2000,Shyne,Bad Boyz,4:22,Rap,2000-09-09,2000-10-28,1,94.0
202,2000,R.E.M.,The Great Beyond,4:10,Rock,1999-12-25,2000-01-29,1,79.0
203,2000,"Diffie, Joe",It's Always Somethin',2:55,Country,2000-08-12,2000-09-16,1,81.0
204,2000,"McGraw, Tim",Some Things Never Change,3:56,Country,2000-05-13,2000-07-01,1,76.0
205,2000,"Henley, Don",Taking You Home,4:08,Rock,2000-06-24,2000-08-05,1,79.0
206,2000,Eminem,The Way I Am,4:40,Rap,2000-08-26,2000-09-30,1,87.0
207,2000,Nas,You Owe Me,3:51,R&B,2000-03-25,2000-04-15,1,74.0
208,2000,Sister Hazel,Change Your Mind,4:02,Rock,2000-07-15,2000-08-05,1,75.0
209,2000,Puff Daddy,Best Friend,5:33,Rap,2000-02-12,2000-02-19,1,65.0
210,2000,"McBride, Martina",There You Are,3:26,Country,2000-09-09,2000-10-21,1,79.0
211,2000,Usher,Pop Ya Collar,3:36,Rock,2000-11-04,2000-11-18,1,68.0
212,2000,Lil' Kim,No Matter What They Say,4:12,Rap,2000-07-15,2000-08-05,1,80.0
213,2000,LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock,2000-04-15,2000-04-22,1,63.0
214,2000,SheDaisy,Deck The Halls,3:46,Country,1999-12-25,2000-01-01,1,97.0
215,2000,Splender,I Think God Can Explain,3:55,R&B,2000-06-10,2000-06-24,1,71.0
216,2000,"Simpson, Jessica",Where You Are,3:51,Rock,2000-04-01,2000-04-15,1,73.0
217,2000,M2M,Mirror Mirror,3:19,Pop,2000-04-01,2000-05-27,1,87.0
218,2000,Kumbia Kings,U Don't Love Me,3:50,R&B,2000-03-04,2000-03-18,1,81.0
219,2000,Joe,Treat Her Like A Lady,4:12,Rock,2000-08-05,2000-08-19,1,77.0
220,2000,"Blige, Mary J.",Deep Inside,5:26,Rock,1999-11-13,2000-01-22,1,83.0
221,2000,"Price, Kelly",You Should've Told Me,3:12,Rock,2000-09-23,2000-12-02,1,91.0
222,2000,Changing Faces,That Other Woman,4:00,Rock,2000-09-30,2000-10-28,1,80.0
223,2000,"Wright, Chely",It Was,3:51,R&B,2000-03-04,2000-04-15,1,86.0
224,2000,Limp Bizkit,Rollin',4:04,Rock,2000-11-11,2000-12-09,1,77.0
225,2000,Hot Boys,I Need A Hot Girl,4:16,Rap,2000-02-19,2000-03-11,1,77.0
226,2000,Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap,2000-01-15,2000-01-29,1,95.0
227,2000,"Adkins, Trace",More,3:05,Country,2000-04-29,2000-06-17,1,84.0
228,2000,"Dixie Chicks, The",Cold Day In July,5:12,Country,2000-06-24,2000-08-05,1,80.0
229,2000,"Price, Kelly",As We Lay,6:20,Rock,2000-07-15,2000-08-05,1,82.0
230,2000,DMX,What's My Name,3:50,Rap,2000-01-15,2000-02-12,1,98.0
231,2000,"Martin, Ricky",Private Emotion,4:02,Latin,2000-03-11,2000-03-18,1,76.0
232,2000,Nine Days,If I Am,4:18,Rock,2000-12-02,2000-12-02,1,68.0
233,2000,"Blige, Mary J.",Give Me You,5:00,Rock,2000-04-15,2000-05-13,1,97.0
234,2000,Red Hot Chili Peppers,Californication,5:21,Rock,2000-07-29,2000-10-14,1,72.0
235,2000,Third Eye Blind,Deep Inside Of You,4:10,Rock,2000-09-02,2000-10-07,1,80.0
236,2000,"Brooks, Garth",Do What You Gotta Do,2:56,Country,2000-02-19,2000-03-18,1,86.0
237,2000,"Offspring, The",Original Prankster,3:42,Rock,2000-11-25,2000-12-09,1,74.0
238,2000,"Anthony, Marc",My Baby You,3:59,Latin,2000-09-16,2000-10-07,1,82.0
239,2000,"Houston, Whitney","Same Script, Different Cast",4:45,Rock,2000-06-17,2000-07-15,1,71.0
240,2000,D'Angelo,Left & Right,4:35,R&B,1999-12-11,2000-01-01,1,93.0
241,2000,"Kravitz, Lenny",I Belong To You,4:17,Rock,2000-03-25,2000-04-08,1,78.0
242,2000,"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,Country,2000-09-16,2000-11-18,1,98.0
243,2000,Q-Tip,Breathe And Stop,4:06,Rock,2000-01-22,2000-01-22,1,71.0
244,2000,"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country,2000-09-09,2000-09-16,1,82.0
245,2000,Lil Wayne,Tha Block Is Hot,4:13,Rap,1999-12-04,2000-01-08,1,99.0
246,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,2000-02-26,2000-03-11,1,87.0
247,2000,"Wallflowers, The",Sleepwalker,3:29,Rock,2000-10-28,2000-10-28,1,73.0
248,2000,Drama,"Left, Right, Left",3:37,Rap,2000-02-12,2000-03-18,1,100.0
249,2000,Limp Bizkit,N 2 Gether Now,3:55,Rock,1999-12-04,2000-01-08,1,94.0
250,2000,Lox,"Ryde or Die, Chick",3:56,Rap,2000-03-18,2000-03-25,1,86.0
251,2000,Ying Yang Twins,Whistle While You Twurk,4:19,Rap,2000-03-18,2000-04-29,1,95.0
252,2000,"Walker, Clay","Live, Laugh, Love",4:06,Country,1999-12-04,2000-01-22,1,95.0
253,2000,Metallica,No Leaf Clover (Live),5:43,Rock,2000-02-12,2000-03-11,1,86.0
254,2000,Yankee Grey,Another Nine Minutes,3:10,Country,2000-04-29,2000-05-20,1,86.0
255,2000,"Bega, Lou",Tricky Tricky ,3:23,Rock,2000-01-29,2000-02-05,1,75.0
256,2000,Big Punisher,It's So Hard,3:25,Rap,2000-04-22,2000-05-06,1,96.0
257,2000,"Worley, Darryl",When You Need My Love,3:35,Country,2000-06-17,2000-09-02,1,98.0
258,2000,Lil' Kim,How Many Licks?,3:50,Rap,2000-11-25,2000-12-02,1,79.0
259,2000,"Clark, Terri",A Little Gasoline,3:07,Country,2000-12-16,2000-12-16,1,75.0
260,2000,"Brock, Chad",A Country Boy Can Survive,3:54,Country,2000-01-01,2000-01-08,1,93.0
261,2000,"Cagle, Chris",My Love Goes On And On,3:02,Country,2000-10-21,2000-12-02,1,99.0
262,2000,"Byrd, Tracy",Put Your Hand In Mine,4:30,Country,2000-01-29,2000-02-12,1,81.0
263,2000,Metallica,I Disappear,4:26,Rock,2000-05-13,2000-06-17,1,86.0
264,2000,Jay-Z,Hey Papi,3:40,Rap,2000-08-12,2000-10-07,1,98.0
265,2000,Fatboy Slim,The Rockafeller Skank,4:00,Electronica,1999-11-13,2000-01-22,1,94.0
266,2000,"Levert, Gerald",Mr. Too Damn Good,4:06,R&B,2000-03-18,2000-04-08,1,84.0
267,2000,"McKnight, Brian",Stay Or Let It Go,4:32,Rock,2000-02-26,2000-03-25,1,95.0
268,2000,"Allan, Gary",Smoke Rings In The Dark,4:18,Country,2000-01-22,2000-02-05,1,80.0
269,2000,Ginuwine,The Best Man I Can Be,4:06,Rock,2000-01-08,2000-03-04,1,97.0
270,2000,Before Dark,Monica,4:04,Rock,2000-05-20,2000-06-17,1,95.0
271,2000,"Estefan, Gloria",No Me Dejes De Querer,3:25,Rock,2000-06-10,2000-06-10,1,77.0
272,2000,Stone Temple Pilots,Sour Girl,4:16,Rock,2000-07-08,2000-07-29,1,79.0
273,2000,Montgomery Gentry,Daddy Won't Sell The Farm,4:18,Country,2000-03-04,2000-03-25,1,87.0
274,2000,"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45,Country,2000-09-23,2000-11-11,1,97.0
275,2000,Clark Family Experience,Meanwhile Back At The Ranch,2:56,Country,2000-11-18,2000-12-16,1,87.0
276,2000,"Thomas, Carl",Summer Rain,4:57,Rock,2000-09-23,2000-10-14,1,82.0
277,2000,"Yearwood, Trisha",Real Live Woman,3:55,Country,2000-04-01,2000-04-29,1,85.0
278,2000,Trick Daddy,Shut Up,4:17,Rap,2000-05-20,2000-06-17,1,99.0
279,2000,"Moore, Chante",Straight Up,3:40,Rock,2000-10-28,2000-12-02,1,98.0
280,2000,Cam'ron,What Means The World To You,4:38,Rap,2000-10-14,2000-11-18,1,94.0
281,2000,Juvenile,U Understand,3:51,Rap,2000-02-05,2000-02-12,1,85.0
